k_heads_ablated,accuracy,last_head_removed
0,0.699999988079071,
0,0.699999988079071,
0,0.699999988079071,
0,0.699999988079071,
0,0.699999988079071,
1,0.699999988079071,"(25, 29)"
1,0.7090908885002136,"(20, 28)"
1,0.7090908885002136,"(5, 0)"
1,0.699999988079071,"(9, 19)"
1,0.6909090876579285,"(4, 24)"
2,0.7181817889213562,"(27, 23)"
2,0.7090908885002136,"(16, 5)"
2,0.699999988079071,"(2, 1)"
2,0.6909090876579285,"(15, 16)"
2,0.699999988079071,"(0, 4)"
3,0.7545454502105713,"(15, 29)"
3,0.7181817889213562,"(26, 15)"
3,0.6909090876579285,"(4, 10)"
3,0.699999988079071,"(8, 26)"
3,0.6909090876579285,"(5, 25)"
4,0.7545454502105713,"(3, 4)"
4,0.7181817889213562,"(21, 27)"
4,0.7090908885002136,"(10, 18)"
4,0.7090908885002136,"(16, 26)"
4,0.6909090876579285,"(6, 10)"
5,0.7636363506317139,"(16, 30)"
5,0.7636363506317139,"(27, 29)"
5,0.7090908885002136,"(26, 24)"
5,0.699999988079071,"(29, 22)"
5,0.6909090876579285,"(0, 30)"
6,0.7727272510528564,"(21, 4)"
6,0.7636363506317139,"(31, 28)"
6,0.6909090876579285,"(11, 17)"
6,0.7090908885002136,"(9, 20)"
6,0.699999988079071,"(8, 22)"
7,0.8090909123420715,"(5, 15)"
7,0.7727272510528564,"(11, 14)"
7,0.6909090876579285,"(24, 12)"
7,0.7090908885002136,"(30, 17)"
7,0.7272726893424988,"(11, 0)"
8,0.8090909123420715,"(27, 19)"
8,0.7636363506317139,"(6, 30)"
8,0.6909090876579285,"(27, 22)"
8,0.7090908885002136,"(14, 15)"
8,0.7545454502105713,"(17, 12)"
9,0.8181818127632141,"(14, 5)"
9,0.7454545497894287,"(16, 3)"
9,0.7181817889213562,"(10, 16)"
9,0.7090908885002136,"(7, 16)"
9,0.7545454502105713,"(16, 20)"
10,0.8181818127632141,"(31, 25)"
10,0.7363635897636414,"(7, 0)"
10,0.7090908885002136,"(0, 6)"
10,0.699999988079071,"(15, 17)"
10,0.7545454502105713,"(26, 11)"
11,0.8090909123420715,"(17, 17)"
11,0.7545454502105713,"(9, 7)"
11,0.7272726893424988,"(13, 13)"
11,0.7181817889213562,"(10, 28)"
11,0.7545454502105713,"(30, 21)"
12,0.8090909123420715,"(20, 16)"
12,0.7545454502105713,"(27, 23)"
12,0.7363635897636414,"(22, 15)"
12,0.7363635897636414,"(7, 27)"
12,0.7545454502105713,"(4, 0)"
13,0.8090909123420715,"(8, 2)"
13,0.7545454502105713,"(25, 12)"
13,0.7363635897636414,"(4, 18)"
13,0.7363635897636414,"(21, 18)"
13,0.7545454502105713,"(21, 1)"
14,0.8090909123420715,"(8, 25)"
14,0.7454545497894287,"(5, 31)"
14,0.7363635897636414,"(2, 12)"
14,0.7363635897636414,"(1, 19)"
14,0.7545454502105713,"(29, 7)"
15,0.8090909123420715,"(12, 26)"
15,0.7454545497894287,"(3, 12)"
15,0.7363635897636414,"(1, 30)"
15,0.7181817889213562,"(4, 0)"
15,0.7454545497894287,"(28, 17)"
16,0.7999999523162842,"(25, 11)"
16,0.7454545497894287,"(21, 20)"
16,0.7363635897636414,"(17, 10)"
16,0.7181817889213562,"(16, 6)"
16,0.7363635897636414,"(12, 31)"
17,0.7999999523162842,"(1, 29)"
