relation,corr_wo_context,corr_w_context,supp_corr_wo_context,supp_corr_w_context,pval_wo_context,pval_w_context,supp_pval_wo_context,supp_pval_w_context
adj_antonym,0.895250500975291,0.8630357058690856,0.8063965978901922,0.7008692710797728,0.0,0.0,0.0,0.0
adj_comparative,0.8533274196442568,0.8619503034112856,0.8137321460023311,0.9060996323492021,0.0,0.0,0.0,0.0
adj_superlative,0.8725041358977971,0.8920100422093116,0.8660920926343902,0.931800335288201,0.0,0.0,0.0,0.0
country_to_capital_wikidata,0.846353875016362,0.8452062956023996,0.9012487425410466,0.8682481224073689,0.0,0.0,0.0,0.0
country_to_official_language_wikidata,0.7629736492989826,0.6242654777705189,0.7594071847670623,0.7448878691719083,0.0,0.0,0.0,0.0
english_to_french,0.7101472604523035,0.6780536407000373,0.7367309284634732,0.6530574864390022,0.0,0.0,0.0,0.0
english_to_spanish,0.8165830277075405,0.8067849674603857,0.8362821921412685,0.8092436457676639,0.0,0.0,0.0,0.0
entity_to_pronoun,0.8913778490296665,0.7854817877687197,0.8048348698870947,0.5734525778737813,0.0,0.0,0.0,0.0
general_copying_english_500,0.7581143280430359,0.7263940849096244,0.7684245889146352,0.7416126450013063,0.0,0.0,0.0,0.0
name_copying,0.948393232743243,0.9457194323522113,0.9866699266227041,0.946383589247287,0.0,0.0,0.0,0.0
object_superclass,0.7386076294529523,0.733095213141474,0.612468643315454,0.627281884341265,0.0,0.0,0.0,0.0
product_by_company,0.45638320992549064,0.48902257923696196,0.4435256256572392,0.3774362635758376,6.395568735438381e-210,2.7126954339423217e-245,5.2083359978643976e-197,7.798757894626791e-139
verb_past_tense,0.9136942013870838,0.8552779786714209,0.9031484272627056,0.8487572786203129,0.0,0.0,0.0,0.0
word_first_letter,0.896838935719856,0.7842201784029841,0.783736961067693,0.41196274948323275,0.0,0.0,0.0,1.3814630143702636e-167
word_last_letter,0.6748462207602595,0.36344886624234973,0.7732658857102435,0.3056679490900331,0.0,3.865411994629468e-128,0.0,2.5543351189874493e-89
word_to_compound,0.7792035101091717,0.6194565123816747,0.8372675146181889,0.7608568714185378,0.0,0.0,0.0,0.0
word_to_homophone,0.8468010667866215,0.7472903285816999,0.8883074700448257,0.6115093471548418,0.0,0.0,0.0,0.0
word_to_synonym,0.791152115232636,0.6865940110218657,0.7464713323405843,0.6536621939699367,0.0,0.0,0.0,0.0
work_location,0.43901453144185765,0.4475683765765254,0.39862849906367637,0.321527186330788,1.3070416114290905e-192,5.211020812014389e-201,4.496449684981461e-156,3.7793155913665306e-99
