k_heads_ablated,accuracy,last_head_removed
0,0.4017857313156128,
1,0.4107142984867096,"(25, 19)"
2,0.4017857313156128,"(41, 12)"
3,0.4107142984867096,"(37, 0)"
4,0.392857164144516,"(31, 12)"
5,0.4017857313156128,"(28, 15)"
6,0.392857164144516,"(37, 15)"
7,0.392857164144516,"(24, 1)"
8,0.4017857313156128,"(29, 20)"
9,0.4017857313156128,"(29, 14)"
10,0.392857164144516,"(33, 6)"
11,0.392857164144516,"(24, 10)"
12,0.3839285969734192,"(45, 12)"
13,0.3839285969734192,"(22, 22)"
14,0.3750000298023224,"(39, 24)"
15,0.3750000298023224,"(35, 21)"
16,0.3660714328289032,"(27, 1)"
17,0.3750000298023224,"(40, 7)"
18,0.3839285969734192,"(37, 23)"
19,0.3660714328289032,"(33, 2)"
20,0.4107142984867096,"(31, 16)"
21,0.4107142984867096,"(47, 11)"
22,0.392857164144516,"(40, 17)"
23,0.392857164144516,"(6, 16)"
24,0.3839285969734192,"(44, 4)"
25,0.3839285969734192,"(44, 3)"
26,0.392857164144516,"(27, 23)"
27,0.392857164144516,"(40, 21)"
28,0.392857164144516,"(40, 14)"
29,0.3750000298023224,"(3, 6)"
30,0.3839285969734192,"(32, 15)"
31,0.3571428656578064,"(30, 17)"
32,0.3571428656578064,"(39, 2)"
33,0.3571428656578064,"(38, 14)"
34,0.3660714328289032,"(29, 11)"
35,0.3660714328289032,"(26, 17)"
36,0.3482142984867096,"(43, 20)"
37,0.3482142984867096,"(43, 8)"
38,0.3482142984867096,"(37, 21)"
39,0.3482142984867096,"(32, 6)"
40,0.3571428656578064,"(31, 19)"
41,0.3660714328289032,"(29, 19)"
42,0.3571428656578064,"(25, 17)"
43,0.4017857313156128,"(23, 11)"
44,0.4017857313156128,"(41, 8)"
45,0.4017857313156128,"(39, 19)"
46,0.4017857313156128,"(38, 22)"
47,0.4017857313156128,"(28, 1)"
48,0.392857164144516,"(21, 20)"
49,0.392857164144516,"(19, 16)"
50,0.4107142984867096,"(14, 23)"
51,0.4107142984867096,"(10, 0)"
52,0.4107142984867096,"(1, 17)"
53,0.4017857313156128,"(42, 15)"
54,0.4017857313156128,"(42, 9)"
55,0.3839285969734192,"(39, 5)"
56,0.392857164144516,"(31, 23)"
57,0.4017857313156128,"(31, 17)"
58,0.4107142984867096,"(28, 19)"
59,0.392857164144516,"(28, 11)"
60,0.3750000298023224,"(26, 8)"
61,0.392857164144516,"(21, 12)"
62,0.392857164144516,"(21, 1)"
63,0.3750000298023224,"(43, 24)"
64,0.3750000298023224,"(41, 19)"
