relation,corr_wo_context,corr_w_context,supp_corr_wo_context,supp_corr_w_context,pval_wo_context,pval_w_context,supp_pval_wo_context,supp_pval_w_context
adj_antonym,0.9254871863926724,0.8665557745795738,0.9102515974865958,0.7793710274473418,0.0,0.0,0.0,0.0
adj_comparative,0.9061023126476146,0.7599763882516484,0.951085758030593,0.8299642992147326,0.0,0.0,0.0,0.0
country_to_capital_wikidata,0.945443533426513,0.9119587446539763,0.9186821418629418,0.9068181192465404,0.0,0.0,0.0,0.0
country_to_official_language_wikidata,0.9115958364459508,0.8633637296714447,0.8937825050440122,0.8145948250259769,0.0,0.0,0.0,0.0
entity_to_pronoun,0.8907500284719114,0.671818606968658,0.8600128641472236,0.508134585634834,0.0,0.0,0.0,7.341560306859234e-268
general_copying_english_500,0.8823337896312067,0.4518043594075539,0.876626169237428,0.8065506343478946,0.0,2.9341135396462307e-205,0.0,0.0
name_copying,0.937717059996656,0.6194337773289444,0.9769484682027099,0.7860676288303257,0.0,0.0,0.0,0.0
object_superclass,0.880798162206708,0.8775720848376994,0.8629078821135485,0.7787357684914848,0.0,0.0,0.0,0.0
verb_past_tense,0.909870707988423,0.7034507597237156,0.9440312986395484,0.8030770822645557,0.0,0.0,0.0,0.0
word_first_letter,0.8716686386416606,0.6438514863337218,0.8130502808522632,0.36692771464846496,0.0,0.0,0.0,9.476041705460134e-131
word_last_letter,0.438029221713296,0.4312100072449341,0.29514054512837395,0.07937546626190674,1.1705998221680575e-191,3.733443577104199e-185,4.011233606199014e-83,3.6472000461291967e-07
word_to_homophone,0.6951766461257116,0.3782671396417659,0.48796381670668376,0.31203842361683426,0.0,1.7374208345944543e-139,4.3866173389873287e-244,3.3972860918767877e-93
word_to_synonym,0.9307913734872615,0.635819242589415,0.8743580474709239,0.7276655091890403,0.0,0.0,0.0,0.0
work_location,0.7623182960897241,0.6830100168948445,0.7289274890088877,0.5839797063974262,0.0,0.0,0.0,0.0
year_to_following,0.9424420888456073,0.7884044601125804,0.45161879865670407,0.8043236749814668,0.0,0.0,4.517427709631288e-205,0.0
