k_heads_ablated,accuracy,last_head_removed
0,0.699999988079071,
1,0.7363635897636414,"(22, 0)"
2,0.7272726893424988,"(31, 21)"
3,0.7363635897636414,"(22, 2)"
4,0.6909090876579285,"(21, 31)"
5,0.6909090876579285,"(18, 19)"
6,0.6727272272109985,"(22, 8)"
7,0.663636326789856,"(17, 31)"
8,0.6727272272109985,"(17, 28)"
9,0.663636326789856,"(30, 30)"
10,0.663636326789856,"(25, 6)"
11,0.663636326789856,"(25, 5)"
12,0.6545454263687134,"(24, 17)"
13,0.6454545259475708,"(24, 16)"
14,0.6454545259475708,"(17, 29)"
15,0.6545454263687134,"(28, 13)"
16,0.6545454263687134,"(15, 14)"
17,0.6545454263687134,"(23, 7)"
18,0.663636326789856,"(22, 10)"
19,0.663636326789856,"(23, 22)"
20,0.6727272272109985,"(22, 12)"
21,0.6727272272109985,"(21, 28)"
22,0.6818181872367859,"(20, 9)"
23,0.6818181872367859,"(28, 27)"
24,0.5909090638160706,"(28, 20)"
25,0.5909090638160706,"(25, 13)"
26,0.5999999642372131,"(24, 20)"
27,0.5999999642372131,"(21, 29)"
28,0.581818163394928,"(22, 31)"
29,0.581818163394928,"(22, 1)"
30,0.5909090638160706,"(21, 30)"
31,0.5909090638160706,"(23, 6)"
32,0.5999999642372131,"(21, 26)"
33,0.5999999642372131,"(15, 12)"
34,0.5999999642372131,"(27, 7)"
35,0.5636363625526428,"(26, 23)"
36,0.5636363625526428,"(26, 12)"
37,0.5454545021057129,"(24, 22)"
38,0.5454545021057129,"(23, 12)"
39,0.5454545021057129,"(31, 31)"
40,0.5454545021057129,"(26, 31)"
41,0.5454545021057129,"(25, 15)"
42,0.5454545021057129,"(25, 14)"
43,0.5363636016845703,"(24, 25)"
44,0.5454545021057129,"(21, 14)"
45,0.5454545021057129,"(20, 23)"
46,0.5454545021057129,"(19, 12)"
47,0.5636363625526428,"(30, 15)"
48,0.5636363625526428,"(26, 19)"
49,0.5636363625526428,"(18, 5)"
50,0.5727272629737854,"(17, 21)"
51,0.5727272629737854,"(31, 16)"
52,0.5636363625526428,"(30, 12)"
53,0.5545454621315002,"(30, 1)"
54,0.5545454621315002,"(29, 31)"
55,0.49090906977653503,"(29, 20)"
56,0.5090909004211426,"(26, 30)"
57,0.5090909004211426,"(26, 14)"
58,0.5090909004211426,"(25, 7)"
59,0.5090909004211426,"(23, 27)"
60,0.5090909004211426,"(20, 1)"
61,0.5090909004211426,"(17, 20)"
62,0.45454543828964233,"(31, 13)"
63,0.45454543828964233,"(27, 3)"
64,0.4636363387107849,"(26, 29)"
65,0.4636363387107849,"(25, 4)"
66,0.49090906977653503,"(24, 24)"
67,0.49090906977653503,"(24, 18)"
68,0.48181816935539246,"(19, 21)"
69,0.4636363387107849,"(19, 8)"
70,0.4636363387107849,"(16, 1)"
71,0.45454543828964233,"(15, 2)"
72,0.44545453786849976,"(4, 4)"
73,0.45454543828964233,"(30, 29)"
74,0.4636363387107849,"(30, 23)"
75,0.4363636374473572,"(28, 30)"
76,0.45454543828964233,"(28, 26)"
77,0.44545453786849976,"(27, 21)"
78,0.44545453786849976,"(27, 4)"
79,0.4363636374473572,"(26, 26)"
80,0.4272727072238922,"(26, 17)"
81,0.44545453786849976,"(26, 13)"
82,0.44545453786849976,"(24, 7)"
83,0.45454543828964233,"(23, 13)"
84,0.44545453786849976,"(23, 5)"
85,0.4363636374473572,"(22, 30)"
86,0.4272727072238922,"(22, 29)"
87,0.41818180680274963,"(21, 24)"
88,0.41818180680274963,"(21, 22)"
89,0.38181817531585693,"(21, 9)"
90,0.37272727489471436,"(20, 21)"
91,0.37272727489471436,"(19, 24)"
92,0.37272727489471436,"(19, 15)"
93,0.34545454382896423,"(19, 13)"
94,0.3181818127632141,"(18, 16)"
95,0.3272727131843567,"(18, 0)"
96,0.3272727131843567,"(17, 3)"
97,0.34545454382896423,"(16, 10)"
98,0.33636361360549927,"(16, 8)"
99,0.29999998211860657,"(15, 27)"
100,0.290909081697464,"(15, 21)"
101,0.29999998211860657,"(15, 9)"
102,0.290909081697464,"(15, 0)"
103,0.27272725105285645,"(14, 13)"
104,0.26363635063171387,"(13, 22)"
105,0.26363635063171387,"(13, 21)"
106,0.26363635063171387,"(12, 4)"
107,0.2545454502105713,"(9, 25)"
108,0.26363635063171387,"(8, 15)"
109,0.26363635063171387,"(7, 17)"
110,0.26363635063171387,"(6, 6)"
111,0.2545454502105713,"(5, 22)"
112,0.27272725105285645,"(3, 24)"
113,0.26363635063171387,"(1, 11)"
