k_heads_ablated,accuracy,last_head_removed
0,0.8888888955116272,
0,0.5384615659713745,
1,0.8888888955116272,"(22, 0)"
1,0.5384615659713745,"(22, 0)"
2,0.8888888955116272,"(31, 21)"
2,0.5384615659713745,"(31, 21)"
3,0.8888888955116272,"(22, 2)"
3,0.5384615659713745,"(22, 2)"
4,0.8888888955116272,"(21, 31)"
4,0.5384615659713745,"(21, 31)"
5,0.8888888955116272,"(18, 19)"
5,0.5384615659713745,"(18, 19)"
6,0.8888888955116272,"(22, 8)"
6,0.5384615659713745,"(22, 8)"
7,0.8888888955116272,"(17, 31)"
7,0.5384615659713745,"(17, 31)"
8,0.8888888955116272,"(17, 28)"
8,0.5384615659713745,"(17, 28)"
9,0.8888888955116272,"(30, 30)"
9,0.5384615659713745,"(30, 30)"
10,0.8888888955116272,"(25, 6)"
10,0.5384615659713745,"(25, 6)"
11,0.8888888955116272,"(25, 5)"
11,0.5384615659713745,"(25, 5)"
12,0.8888888955116272,"(24, 17)"
12,0.5384615659713745,"(24, 17)"
13,0.8888888955116272,"(24, 16)"
13,0.5384615659713745,"(24, 16)"
14,0.8888888955116272,"(17, 29)"
14,0.5384615659713745,"(17, 29)"
15,0.8888888955116272,"(28, 13)"
15,0.5384615659713745,"(28, 13)"
16,0.8888888955116272,"(15, 14)"
16,0.5641025900840759,"(15, 14)"
17,0.8888888955116272,"(23, 7)"
17,0.5641025900840759,"(23, 7)"
18,0.8888888955116272,"(22, 10)"
18,0.5641025900840759,"(22, 10)"
19,0.8888888955116272,"(23, 22)"
19,0.5641025900840759,"(23, 22)"
20,0.8888888955116272,"(22, 12)"
20,0.5641025900840759,"(22, 12)"
21,0.8888888955116272,"(21, 28)"
21,0.5641025900840759,"(21, 28)"
22,0.8888888955116272,"(20, 9)"
22,0.5641025900840759,"(20, 9)"
23,0.8888888955116272,"(28, 27)"
23,0.5641025900840759,"(28, 27)"
24,0.8888888955116272,"(28, 20)"
24,0.5641025900840759,"(28, 20)"
25,0.8888888955116272,"(25, 13)"
25,0.5641025900840759,"(25, 13)"
26,0.8888888955116272,"(24, 20)"
26,0.5641025900840759,"(24, 20)"
27,0.8888888955116272,"(21, 29)"
27,0.5641025900840759,"(21, 29)"
28,0.8888888955116272,"(22, 31)"
28,0.5641025900840759,"(22, 31)"
29,0.8888888955116272,"(22, 1)"
29,0.5641025900840759,"(22, 1)"
30,0.8888888955116272,"(21, 30)"
30,0.5641025900840759,"(21, 30)"
31,0.8888888955116272,"(23, 6)"
31,0.5641025900840759,"(23, 6)"
32,0.8888888955116272,"(21, 26)"
32,0.5384615659713745,"(21, 26)"
33,0.8888888955116272,"(15, 12)"
33,0.5384615659713745,"(15, 12)"
34,0.8888888955116272,"(27, 7)"
34,0.5384615659713745,"(27, 7)"
35,0.8888888955116272,"(26, 23)"
35,0.5384615659713745,"(26, 23)"
36,0.8888888955116272,"(26, 12)"
36,0.5384615659713745,"(26, 12)"
37,0.8888888955116272,"(24, 22)"
37,0.5384615659713745,"(24, 22)"
38,0.8888888955116272,"(23, 12)"
38,0.5384615659713745,"(23, 12)"
39,0.8888888955116272,"(31, 31)"
39,0.5384615659713745,"(31, 31)"
40,0.8888888955116272,"(26, 31)"
40,0.5384615659713745,"(26, 31)"
41,0.8888888955116272,"(25, 15)"
41,0.5384615659713745,"(25, 15)"
42,0.8888888955116272,"(25, 14)"
42,0.5384615659713745,"(25, 14)"
43,0.8888888955116272,"(24, 25)"
43,0.5384615659713745,"(24, 25)"
44,0.8888888955116272,"(21, 14)"
44,0.5897436141967773,"(21, 14)"
45,0.8888888955116272,"(20, 23)"
45,0.5897436141967773,"(20, 23)"
46,0.8888888955116272,"(19, 12)"
46,0.5897436141967773,"(19, 12)"
47,0.8888888955116272,"(30, 15)"
47,0.5897436141967773,"(30, 15)"
48,0.8888888955116272,"(26, 19)"
48,0.5897436141967773,"(26, 19)"
49,0.8888888955116272,"(18, 5)"
49,0.5384615659713745,"(18, 5)"
50,0.8888888955116272,"(17, 21)"
50,0.5384615659713745,"(17, 21)"
51,0.8888888955116272,"(31, 16)"
51,0.5384615659713745,"(31, 16)"
52,0.8888888955116272,"(30, 12)"
52,0.5384615659713745,"(30, 12)"
53,0.8888888955116272,"(30, 1)"
53,0.5641025900840759,"(30, 1)"
54,0.8888888955116272,"(29, 31)"
54,0.5897436141967773,"(29, 31)"
55,0.8888888955116272,"(29, 20)"
55,0.5897436141967773,"(29, 20)"
56,0.8888888955116272,"(26, 30)"
56,0.5897436141967773,"(26, 30)"
57,0.8888888955116272,"(26, 14)"
57,0.5897436141967773,"(26, 14)"
58,0.8888888955116272,"(25, 7)"
58,0.5897436141967773,"(25, 7)"
59,0.8888888955116272,"(23, 27)"
59,0.5897436141967773,"(23, 27)"
60,0.8888888955116272,"(20, 1)"
60,0.5641025900840759,"(20, 1)"
61,0.8888888955116272,"(17, 20)"
61,0.5641025900840759,"(17, 20)"
62,0.8888888955116272,"(31, 13)"
62,0.5641025900840759,"(31, 13)"
