relation,corr_wo_context,corr_w_context,supp_corr_wo_context,supp_corr_w_context,pval_wo_context,pval_w_context,supp_pval_wo_context,supp_pval_w_context
adj_antonym,0.9217500045706899,0.8468814051752533,0.8958532733228983,0.7690924118910082,0.0,0.0,0.0,0.0
adj_comparative,0.9178951251601382,0.7979440415362058,0.9281496099020126,0.7425132284505203,0.0,0.0,0.0,0.0
country_to_capital_wikidata,0.934976179539664,0.8925256155061447,0.6322162643104696,0.617846895364166,0.0,0.0,0.0,0.0
country_to_official_language_wikidata,0.9419460141954257,0.8879275706746275,0.842973566817831,0.703996744676247,0.0,0.0,0.0,0.0
entity_to_pronoun,0.8522677365454054,0.7434332192824697,0.6792539117624227,0.2895175957817566,0.0,0.0,0.0,1.2630931549343451e-111
general_copying_english_500,0.8940423520198886,0.5954456742509715,0.9103789248947853,0.7798428895707572,0.0,0.0,0.0,0.0
name_copying,0.855379460016571,0.5670234864251237,0.9901694789572161,0.7159354783046314,0.0,0.0,0.0,0.0
object_superclass,0.8818837419360688,0.8664240236690162,0.7912381111485735,0.7663945103912978,0.0,0.0,0.0,0.0
verb_past_tense,0.8920319532604388,0.7140882954940249,0.9570804737636052,0.7450645854691942,0.0,0.0,0.0,0.0
word_first_letter,0.8370804514092716,0.6189598698003815,0.4777733267157339,0.18472202129954293,0.0,0.0,0.0,2.208482210747272e-45
word_last_letter,0.36436860794581993,0.17307141739861054,0.5905945713417456,0.23255340289189552,2.2716302978113457e-180,5.709973057834513e-40,0.0,1.372018871742741e-71
word_to_homophone,0.6673274237362246,0.42829453846255044,0.6100376808531522,0.3855652645610116,0.0,1.021535753759003e-255,0.0,1.588782345428622e-203
word_to_synonym,0.9040294546827758,0.6749750389340207,0.8197449337242981,0.631315804723847,0.0,0.0,0.0,0.0
work_location,0.7491035553493599,0.6446016501630439,0.6110845532071173,0.638796517575796,0.0,0.0,0.0,0.0
year_to_following,0.9034884576415028,0.782716738269404,0.39352883623842494,0.5879363243826581,0.0,0.0,1.1134900552910452e-212,0.0
